,fast_ma,slow_ma,profit,end_capital,number_of_trades
1106,27,77,-0.09809999999999997,9019,14
468,28,68,-0.09819999999999995,9018,14
738,24,72,-0.09840000000000004,9016,14
884,27,74,-0.0988,9012,14
288,43,65,-0.09909999999999997,9009,14
721,7,72,-0.09909999999999997,9009,22
346,37,66,-0.09919999999999995,9008,14
1256,24,79,-0.09930000000000005,9007,14
1028,24,76,-0.09970000000000001,9003,14
1177,22,78,-0.09970000000000001,9003,14
39,40,61,-0.0998,9002,16
812,27,73,-0.09989999999999999,9001,14
349,40,66,-0.09989999999999999,9001,14
96,37,62,-0.10019999999999996,8998,16
792,7,73,-0.10070000000000001,8993,22
673,29,71,-0.10070000000000001,8993,14
352,43,66,-0.1008,8992,14
471,31,68,-0.10089999999999999,8991,14
168,48,63,-0.10129999999999995,8987,14
506,66,68,-0.10129999999999995,8987,28
1248,16,79,-0.10160000000000002,8984,16
133,13,63,-0.10160000000000002,8984,16
1331,21,80,-0.10170000000000001,8983,14
430,56,67,-0.1018,8982,16
1085,6,77,-0.1018,8982,20
1180,25,78,-0.10189999999999999,8981,14
1009,5,76,-0.10199999999999998,8980,24
671,27,71,-0.10209999999999997,8979,14
790,5,73,-0.10229999999999995,8977,26
37,38,61,-0.10240000000000005,8976,16
602,27,70,-0.10289999999999999,8971,14
1016,12,76,-0.10299999999999998,8970,18
1105,26,77,-0.10299999999999998,8970,14
534,27,69,-0.10319999999999996,8968,14
1102,23,77,-0.10329999999999995,8967,14
360,51,66,-0.10340000000000005,8966,14
753,39,72,-0.10340000000000005,8966,14
722,8,72,-0.10350000000000004,8965,20
1025,21,76,-0.10350000000000004,8965,14
258,13,65,-0.10350000000000004,8965,16
1294,62,79,-0.1038,8962,16
956,26,75,-0.1038,8962,14
986,56,75,-0.10389999999999999,8961,14
368,59,66,-0.10399999999999998,8960,20
351,42,66,-0.10399999999999998,8960,14
674,30,71,-0.10399999999999998,8960,14
435,61,67,-0.10429999999999995,8957,20
1100,21,77,-0.10429999999999995,8957,14
954,24,75,-0.10460000000000003,8954,14
1335,25,80,-0.1048,8952,16
348,39,66,-0.1049,8951,14
942,12,75,-0.1049,8951,16
1328,18,80,-0.10499999999999998,8950,14
810,25,73,-0.10519999999999996,8948,14
481,41,68,-0.10529999999999995,8947,14
739,25,72,-0.10540000000000005,8946,14
221,39,64,-0.10540000000000005,8946,14
1101,22,77,-0.10540000000000005,8946,14
1103,24,77,-0.10540000000000005,8946,14
544,37,69,-0.10570000000000002,8943,14
196,14,64,-0.10570000000000002,8943,16
538,31,69,-0.1058,8942,14
499,59,68,-0.1058,8942,16
553,46,69,-0.1058,8942,14
1178,23,78,-0.1059,8941,14
605,30,70,-0.1059,8941,14
866,9,74,-0.10640000000000005,8936,22
478,38,68,-0.1069,8931,14
1026,22,76,-0.1069,8931,14
